Period,Total (K)
Oct-02,53674
Nov-02,50348
Dec-02,55753
Jan-03,49034
Feb-03,46557
Mar-03,56282
Apr-03,52380
May-03,54559
Jun-03,58586
Jul-03,63071
Aug-03,61329
Sep-03,49936
Oct-03,55852
Nov-03,52938
Dec-03,56202
Jan-04,50323
Feb-04,51528
Mar-04,61421
Apr-04,60163
May-04,59838
Jun-04,64530
Jul-04,68179
Aug-04,65581
Sep-04,53998
Oct-04,60779
Nov-04,58020
Dec-04,59654
Jan-05,55230
Feb-05,53658
Mar-05,67107
Apr-05,62336
May-05,64844
Jun-05,67921
Jul-05,71472
Aug-05,67562
Sep-05,57387
Oct-05,60441
Nov-05,59194
Dec-05,60019
Jan-06,56149
Feb-06,53870
Mar-06,66523
Apr-06,63694
May-06,64885
Jun-06,67723
Jul-06,70066
Aug-06,66985
Sep-06,56909
Oct-06,62089
Nov-06,60742
Dec-06,61156
Jan-07,57653
Feb-07,54506
Mar-07,67766
Apr-07,65384
May-07,67236
Jun-07,70235
Jul-07,73056
Aug-07,71963
Sep-07,59760
Oct-07,64684
Nov-07,62405
Dec-07,61341
Jan-08,58280
Feb-08,57519
Mar-08,68271
Apr-08,63668
May-08,66537
Jun-08,68445
Jul-08,70998
Aug-08,68337
Sep-08,54703
Oct-08,60198
Nov-08,54492
Dec-08,57794
Jan-09,52257
Feb-09,50217
Mar-09,61403
Apr-09,59966
May-09,60167
Jun-09,64005
Jul-09,68604
Aug-09,65549
Sep-09,55168
Oct-09,59312
Nov-09,55285
Dec-09,57357
Jan-10,53043
Feb-10,49091
Mar-10,62735
Apr-10,60145
May-10,61941
Jun-10,65515
Jul-10,69078
Aug-10,66814
Sep-10,57842
Oct-10,62648
Nov-10,58653
Dec-10,59040
Jan-11,54179
Feb-11,50554
Mar-11,64164
Apr-11,61033
May-11,64348
Jun-11,66777
Jul-11,70590
Aug-11,66953
Sep-11,58629
Oct-11,61750
Nov-11,58822
Dec-11,59594
Jan-12,54929
Feb-12,53576
Mar-12,65008
Apr-12,61992
May-12,64126
Jun-12,67144
Jul-12,69802
Aug-12,68366
Sep-12,57935
Oct-12,61412
Nov-12,59208
Dec-12,59324
Jan-13,55797
Feb-13,52891
Mar-13,65540
Apr-13,61418
May-13,65208
Jun-13,67517
Jul-13,69726
Aug-13,68231
Sep-13,58648
Oct-13,62622
Nov-13,58020
Dec-13,62919
Jan-14,56265
Feb-14,52843
Mar-14,66911
Apr-14,63883
May-14,66912
Jun-14,69069
Jul-14,72422
Aug-14,70057
Sep-14,60444
Oct-14,64978
Nov-14,60158
Dec-14,64177
Jan-15,58229
Feb-15,54572
Mar-15,68640
Apr-15,66343
May-15,69353
Jun-15,71710
Jul-15,76191
Aug-15,73366
Sep-15,64189
Oct-15,69207
Nov-15,64974
Dec-15,66801
Jan-16,61201
Feb-16,58831
Mar-16,70928
Apr-16,67584
May-16,71871
Jun-16,74881
Jul-16,77418
Aug-16,73898
Sep-16,66850
Oct-16,69048
Nov-16,66930