"premax","salmax","minairtemp","maxairtemp","maxsst","maxsoilmoist","Max_czcs","runoffnew"
350.0,3448,287.0,301.5,302817,6.390000000000001,0.51,167
350.0,3487,290.0,301.2,302280,0.0,0.8,0
450.0,3483,289.0,301.0,303326,1.0,1.25,0
378.57,3467,286.0,302.0,303122,7.0,1.6500000000000001,0
350.0,3459,288.0,301.0,302890,5.0,1.53,300
375.0,3472,287.0,302.0,302767,9.0,0.75,0
435.71000000000004,3481,288.1,302.3,302750,0.0,0.8200000000000001,0
435.71000000000004,3483,288.90000000000003,302.40000000000003,302733,0.0,0.8200000000000001,0
450.0,3480,289.0,302.0,302775,9.0,0.97,0
350.0,3467,289.90000000000003,301.40000000000003,302847,0.0,0.68,0
350.0,3482,290.0,301.0,302422,14.0,1.11,0
350.0,3505,289.90000000000003,301.40000000000003,301970,0.0,0.5,0
411.54,3485,285.7,302.0,303427,0.0,1.54,0
350.0,3483,285.0,302.0,303326,10.0,2.5,300
350.0,3471,285.0,302.0,303016,12.0,2.43,300
450.0,3480,288.0,303.0,302771,13.0,1.95,300
450.0,3478,290.0,302.0,302826,6.0,1.68,150
421.43,3473,288.0,303.0,302907,8.0,0.91,0
350.0,3449,289.5,301.8,303057,0.0,0.86,0
350.0,3475,290.0,302.0,302556,13.0,1.9100000000000001,600
330.0,3500,289.5,301.8,301867,0.0,0.47000000000000003,0
335.71,3484,284.1,302.8,302460,2.9,0.71,82
350.0,3491,284.3,303.3,302677,0.0,1.25,0
350.0,3498,284.0,303.3,302860,2.6,0.85,138
438.89,3506,282.6,303.1,303327,0.0,1.17,0
450.0,3497,283.0,303.0,303361,9.0,2.21,0
361.11,3466,288.40000000000003,302.90000000000003,302970,0.0,0.66,0
350.0,3453,289.0,302.0,303057,11.0,1.3,0
283.33,3490,289.0,302.0,302295,13.0,0.59,0
350.0,3488,285.0,302.0,302571,3.0,0.99,0
350.0,3493,284.0,304.0,302728,6.0,2.12,300
350.0,3502,284.0,303.0,302951,4.0,2.08,300
376.67,3513,282.0,303.8,303203,0.0,3.39,0
450.0,3507,283.0,303.0,303245,6.0,3.83,150
350.0,3472,287.0,303.0,303100,8.0,1.1300000000000001,75
300.0,3471,287.1,303.3,303127,0.0,0.81,0
350.0,3465,288.0,302.0,303320,11.0,1.45,0
250.0,3494,289.0,302.0,302636,13.0,2.66,300
250.0,3531,290.0,301.0,302093,6.0,1.19,300
250.0,3537,289.5,301.1,302103,5.13,0.29,210
250.0,3486,285.0,302.0,302160,3.0,1.1,0
250.0,3487,281.0,304.0,302556,7.0,2.2,300
350.0,3510,280.0,305.0,303172,6.0,11.370000000000001,300
350.0,3511,279.0,305.0,303244,8.0,1.97,150
250.0,3475,285.0,305.0,303122,10.0,1.69,75
250.0,3476,287.0,303.0,303127,5.0,1.03,75
250.0,3483,285.40000000000003,303.7,303217,0.0,0.72,0
250.0,3473,286.0,303.0,303463,9.0,1.79,0
235.71,3531,288.40000000000003,300.5,302163,0.0,0.41000000000000003,0
162.5,3488,280.90000000000003,305.0,301860,0.0,1.02,0
200.0,3488,281.0,305.0,301860,4.0,1.72,0
250.0,3488,282.0,303.0,301860,4.0,1.85,25
250.0,3484,284.0,304.0,303359,6.0,1.32,25
250.0,3492,281.6,304.5,303663,0.0,1.54,0
225.0,3485,280.0,305.0,303636,7.0,2.16,0
216.67000000000002,3480,281.5,304.40000000000003,303697,0.0,2.75,0
250.0,3477,283.0,304.0,303578,8.0,3.37,0
250.0,3533,288.0,300.0,302145,8.0,0.58,600
150.0,3502,282.0,305.0,301881,3.0,1.3,0
250.0,3485,280.0,305.0,303688,5.0,2.73,25
150.0,3484,280.0,305.0,303697,4.0,3.33,25
150.0,3534,287.0,300.0,302140,9.0,0.16,600
178.57,3538,286.7,300.5,302130,0.0,0.35000000000000003,0
150.0,3529,277.6,307.3,301923,0.0,0.65,0
150.0,3524,277.0,308.0,301914,4.0,1.86,25
150.0,3529,284.5,301.40000000000003,302147,0.0,0.5,0
85.71000000000001,3536,277.40000000000003,309.1,302033,1.11,1.44,16
125.0,3545,276.3,308.5,301940,0.0,1.93,0
150.0,3537,276.0,308.0,301943,4.0,2.19,25
150.0,3533,283.0,302.0,302078,12.0,0.92,150
150.0,3539,285.0,302.0,301865,8.0,0.67,600
150.0,3542,283.90000000000003,302.40000000000003,301750,0.0,0.33,0
50.33,3510,279.0,308.40000000000003,301593,0.0,1.6300000000000001,0
64.43,3510,278.1,309.1,301727,0.0,2.13,0
75.0,3518,278.1,308.8,301707,0.0,1.71,0
75.0,3524,279.0,308.0,301817,1.0,3.33,25
75.0,3536,277.0,310.0,301960,2.0,3.2600000000000002,25
150.0,3545,283.0,303.0,301539,12.0,0.65,0
75.0,3547,283.0,302.5,301473,0.0,0.63,0
38.0,3513,280.7,306.7,300517,1.58,0.22,25
42.11,3512,280.1,307.3,300937,1.53,1.8900000000000001,20
38.0,3509,280.0,308.0,301593,2.0,4.97,25
75.0,3511,277.0,310.0,301601,2.0,7.8,25
75.0,3546,283.5,302.0,301247,0.0,0.86,0
34.0,3523,281.40000000000003,305.6,299937,1.83,0.42,20
38.0,3516,281.0,306.0,300498,2.0,5.5,25
75.0,3548,283.0,302.0,301241,11.0,2.36,75
75.0,3550,285.0,301.0,301150,6.0,1.0,75
24.67,3526,282.0,304.3,299187,1.59,0.55,7
75.0,3552,282.0,302.0,300957,12.0,1.43,75
75.0,3556,282.2,301.0,300923,0.0,0.58,0
18.0,3530,283.0,302.0,298930,1.0,1.03,0
75.0,3546,281.0,300.0,300781,12.0,0.48,150
75.0,3539,281.0,300.2,300840,0.0,0.32,0
75.0,3542,281.0,300.0,300503,2.97,0.22,38
18.0,3542,280.6,305.90000000000003,297913,2.02,0.34,3
22.0,3542,280.0,306.0,297975,2.0,1.96,0
18.0,3541,279.0,309.0,298027,3.0,6.390000000000001,25
75.0,3535,281.0,300.0,300411,13.0,0.65,150
75.0,3533,280.6,299.8,300123,0.0,0.3,0
31.330000000000002,3551,280.0,307.0,297311,3.0,0.8200000000000001,0
38.0,3551,279.0,309.0,297268,3.0,4.57,25
133.33,3517,279.90000000000003,299.1,299833,0.0,0.27,0
47.25,3555,280.3,305.90000000000003,297010,0.0,0.56,0
38.0,3556,281.0,305.0,296854,2.0,1.03,0
250.0,3524,279.0,299.0,299721,14.0,0.28,0
75.0,3559,281.0,301.0,296380,1.0,0.8200000000000001,0
250.0,3538,281.0,298.0,298969,9.0,0.32,600
69.71000000000001,3560,281.0,301.3,296230,0.0,0.47000000000000003,0
250.0,3540,280.6,298.0,298870,0.0,0.4,0
96.43,3563,281.0,300.40000000000003,295720,2.12,0.31,0
75.0,3564,281.0,301.0,295451,4.0,0.86,0
183.33,3551,279.7,297.3,298503,5.3100000000000005,0.31,107
150.0,3566,281.0,299.0,295050,4.0,0.61,0
38.0,3613,278.0,301.0,292288,2.0,0.65,25
38.0,3613,278.0,301.0,292330,2.0,0.86,25
18.0,3613,278.0,302.0,292338,2.0,1.27,25
150.0,3558,279.0,297.0,298293,11.0,0.51,75
150.0,3565,278.7,297.0,298073,10.51,0.27,43
142.5,3566,281.1,296.8,294423,0.0,0.59,0
38.0,3592,276.0,301.0,291887,3.0,0.62,25
38.0,3606,278.0,298.0,292206,1.0,0.6,25
38.0,3613,277.6,298.90000000000003,292363,0.0,0.63,0
38.0,3613,277.3,300.2,292307,0.0,0.75,0
38.0,3613,277.3,301.0,292280,0.0,0.66,0
20.86,3612,277.3,302.0,292380,1.79,0.59,16
31.330000000000002,3616,277.0,302.40000000000003,292233,0.0,1.17,0
38.0,3609,277.0,303.0,292045,5.0,2.5500000000000003,25
38.0,3648,275.0,303.0,290700,6.0,3.9,25
120.0,3560,278.0,297.0,297705,13.0,0.49,0
150.0,3569,281.0,295.0,294423,5.0,0.92,0
38.0,3580,277.0,300.0,291736,6.0,0.52,25
75.0,3583,277.0,299.0,291656,5.0,0.61,25
59.14,3584,277.0,300.0,291683,4.0,0.91,0
43.29,3589,276.8,299.90000000000003,291840,0.0,0.54,0
44.730000000000004,3601,277.40000000000003,300.5,291773,0.0,1.0,0
38.0,3613,277.0,301.0,291212,5.0,0.98,25
38.0,3628,277.0,300.0,290725,4.0,0.7000000000000001,25
38.0,3650,277.0,300.0,290700,5.0,2.57,25
38.0,3642,275.0,302.0,290666,6.0,5.63,25
150.0,3556,279.0,296.0,295987,11.0,0.46,300
150.0,3567,282.0,292.0,292873,3.0,0.75,0
38.0,3572,279.0,296.0,291927,6.0,0.39,25
45.4,3574,277.8,298.1,292100,0.0,0.29,0
62.67,3582,277.0,299.5,291673,4.67,0.34,19
75.0,3581,277.0,299.8,291530,3.46,0.37,6
75.0,3608,279.0,295.0,290646,3.0,0.86,0
51.63,3635,277.8,298.40000000000003,290700,0.0,0.78,0
38.0,3618,278.0,298.0,290499,5.0,1.24,25
75.0,3614,276.0,300.0,290416,6.0,1.31,25
75.0,3558,277.0,297.0,295647,15.0,0.4,300
108.33,3556,277.6,296.5,295987,13.34,0.36,245
150.0,3564,282.0,292.0,293557,0.0,0.59,0
150.0,3568,280.7,294.3,291907,5.63,0.31,17
94.0,3570,279.5,294.90000000000003,291803,5.07,0.5700000000000001,25
38.0,3572,279.0,296.3,291820,4.53,0.3,17
68.83,3593,278.7,296.5,290337,0.0,0.45,0
62.67,3589,278.40000000000003,296.90000000000003,290397,1.92,0.71,7
75.0,3606,279.0,294.0,290460,3.0,1.3800000000000001,25
57.730000000000004,3596,277.0,299.0,290175,6.0,1.27,0
38.0,3583,277.0,299.0,289839,7.0,1.3,25
75.0,3561,276.0,296.0,294620,14.0,0.49,0
150.0,3560,282.0,292.0,293643,3.0,1.24,0
150.0,3561,281.0,292.0,293367,0.0,0.85,0
75.0,3573,279.0,295.8,289850,0.0,0.37,0
67.6,3577,278.3,296.7,289903,0.0,0.58,0
50.33,3583,277.5,297.2,289770,0.0,1.07,0
75.0,3563,275.0,294.0,293930,14.0,0.46,300
75.0,3564,276.1,294.5,294287,12.8,0.43,191
150.0,3554,281.0,292.0,292803,3.17,1.33,0
150.0,3553,280.0,292.0,292992,7.0,3.1,0
150.0,3556,279.0,292.0,293137,0.0,1.82,0
67.6,3564,278.6,294.2,289443,3.14,0.7000000000000001,14
75.0,3562,279.0,292.0,289304,6.0,1.95,25
75.0,3562,278.0,292.0,292951,8.0,0.6,300
75.0,3562,276.8,293.0,293217,10.5,0.48,300
150.0,3542,278.8,291.7,292547,0.0,2.54,0
150.0,3548,278.0,292.0,292877,11.0,2.94,1200
150.0,3551,277.7,291.90000000000003,293227,7.03,1.19,840
150.0,3555,278.0,292.0,293247,6.65,0.92,750
150.0,3556,278.0,292.0,293003,2.94,0.76,400
75.0,3554,278.8,292.0,289090,3.47,0.54,19
75.0,3555,278.1,292.0,289080,0.0,0.62,0
75.0,3555,278.0,292.0,289080,10.0,0.89,75
75.0,3548,277.0,292.0,289175,10.0,1.07,300
84.38,3553,276.40000000000003,293.3,289693,0.0,0.88,0
75.0,3547,277.0,292.0,289624,10.0,1.11,300
75.0,3551,278.0,291.0,290089,7.0,1.76,300
75.0,3564,276.8,292.0,290533,0.0,1.03,0
150.0,3527,277.3,291.0,291963,0.0,2.25,0
150.0,3550,278.0,292.0,292638,10.0,2.0100000000000002,1200
150.0,3558,278.0,292.0,292577,0.0,1.1300000000000001,0
75.0,3540,277.3,292.40000000000003,288830,0.0,0.62,0
75.0,3542,276.6,292.3,289247,3.9,0.78,61
75.0,3547,277.40000000000003,290.8,289927,0.0,0.68,0
75.0,3552,277.2,290.3,290287,0.0,0.99,0
75.0,3555,276.8,290.1,290700,0.0,0.8200000000000001,0
150.0,3505,276.8,289.8,291480,0.0,1.02,0
150.0,3510,277.0,290.0,291358,11.0,2.0100000000000002,0
150.0,3539,276.90000000000003,291.7,291857,0.0,0.86,0
150.0,3532,277.0,289.1,288717,0.0,1.12,0
134.38,3536,276.6,288.6,289320,0.0,0.89,0
91.67,3540,276.7,288.5,289743,4.41,0.65,396
75.0,3543,276.7,288.5,290110,0.0,1.07,0
75.0,3546,277.0,289.0,290144,10.0,0.9,0
150.0,3502,276.3,288.2,291157,0.0,0.8200000000000001,0
150.0,3500,276.7,288.90000000000003,291093,0.0,1.01,0
150.0,3499,277.0,290.1,290800,0.0,1.05,0
150.0,3508,277.0,291.0,290943,12.0,1.19,0
150.0,3523,277.0,291.0,291410,11.0,0.8300000000000001,600
167.86,3520,276.6,287.7,287883,5.22,0.84,462
150.0,3531,277.0,288.0,288834,10.0,0.78,1200
75.0,3535,276.0,288.0,289288,12.0,1.01,1200
75.0,3538,277.0,288.0,289618,9.0,1.53,1200
75.0,3540,276.7,288.40000000000003,289897,7.05,0.71,514
230.0,3504,274.90000000000003,287.90000000000003,290800,10.700000000000001,1.1400000000000001,200
150.0,3498,276.0,288.0,290715,12.0,2.29,0
150.0,3495,277.0,288.0,290489,8.0,1.62,1200
150.0,3494,277.1,289.3,290147,5.89,1.37,480
150.0,3501,278.0,290.0,290490,4.0,1.04,600
150.0,3508,277.3,290.7,290657,8.42,0.87,545
250.0,3517,276.0,287.0,287790,10.0,2.75,0
75.0,3524,276.0,288.0,288517,11.0,1.02,600
75.0,3530,276.40000000000003,288.0,289020,7.65,0.74,533
288.64,3495,273.1,287.5,290640,13.73,1.28,1200
350.0,3491,274.0,288.0,290256,15.0,2.71,0
150.0,3483,276.0,288.0,289608,10.0,1.96,1200
150.0,3485,276.8,288.6,289370,7.67,1.61,933
194.44,3504,276.6,287.2,286880,8.31,1.46,600
150.0,3510,277.0,287.0,287338,7.0,1.85,1200
108.33,3511,276.6,287.5,287320,0.0,1.04,0
100.0,3514,276.3,287.7,287893,4.64,0.68,343
350.0,3472,273.8,285.40000000000003,290103,12.42,0.77,2400
266.67,3490,272.90000000000003,286.5,290477,12.47,1.1300000000000001,2000
350.0,3480,273.0,287.0,289747,14.0,2.3000000000000003,2400
150.0,3463,274.0,288.0,288471,13.0,2.18,1200
150.0,3459,274.90000000000003,288.0,288420,11.18,1.6500000000000001,1200
300.0,3462,273.5,285.1,289367,13.55,1.1500000000000001,2400
350.0,3470,274.0,285.0,289512,11.0,1.6400000000000001,2400
160.0,3441,272.7,287.1,287120,0.0,1.69,0
250.0,3467,273.0,285.1,287943,13.13,2.59,2400
250.0,3462,273.0,285.0,287680,16.0,2.77,2400
75.0,3446,273.0,286.0,286833,9.0,2.35,1200
85.71000000000001,3442,272.6,286.5,286703,8.25,1.28,764
216.67000000000002,3465,273.3,285.3,286957,9.200000000000001,2.9,1200
194.44,3456,273.7,285.5,286440,10.06,3.46,1154
150.0,3456,274.0,286.0,286420,14.0,4.01,1200
150.0,3448,275.0,286.0,286082,10.0,1.7,600
112.5,3444,273.8,286.0,286090,9.63,1.05,960
183.33,3456,273.7,285.7,285937,0.0,2.39,0
150.0,3453,274.3,285.90000000000003,285697,8.22,1.56,600
